unit_id,housing_type,bedrooms,bathrooms,full_bathrooms,half_bathrooms,maximum_occupants,square_footage,minimum_stay_duration,has_rest_days,is_in_hoa,is_sub_unit,city_name,county,zip5,state_name_short,unit_latitude,unit_longitude
38788,house,3,4,3,1,9,3130,2,false,false,false,Greenville,Piscataquis,04441,ME,45.548439,-69.582504
39020,house,3,2,2,0,6,1188,3,false,false,false,Carnation,King,98019,WA,47.725876,-121.986860
39066,townhouse,2,3,2,1,8,"",2,false,false,false,Frisco,Summit,80443,CO,39.586404,-106.092140
39204,house,4,4,4,0,6,3200,28,false,false,false,Palm Desert,Riverside,92260,CA,33.714626,-116.389003
39234,house,3,2,2,0,6,1454,3,false,false,false,Palm Springs,Riverside,92262,CA,33.839005,-116.533682
39281,condo,2,2,2,0,4,1527,4,false,false,false,Palm Springs,Riverside,92262,CA,33.821065,-116.549158
39337,house,3,3,2,1,6,1200,4,false,false,false,Palm Springs,Riverside,92262,CA,33.847487,-116.539235
39459,house,3,3,3,0,6,2780,3,false,false,false,Palm Springs,Riverside,92262,CA,33.819197,-116.549258
39508,house,3,3,3,0,6,3066,28,true,false,false,Rancho Mirage,Riverside,92270,CA,33.793326,-116.435253
39945,condo,1,1,1,0,6,462,2,false,false,false,Galveston,Galveston,77551,TX,29.266918,-94.827446
39986,studio,0,1,1,0,4,370,1,false,true,false,Aspen,Pitkin,81611,CO,39.205186,-106.858948
40000,studio,0,1,1,0,4,370,1,false,true,false,Aspen,Pitkin,81611,CO,39.204944,-106.858845
40318,condo,1,1,1,0,4,800,1,false,false,true,Beaver Creek,Eagle,81620,CO,39.606677,-106.516491
40590,studio,0,1,1,0,2,225,2,false,true,true,Vail,Eagle,81657,CO,39.642330,-106.388948
40605,condo,1,2,2,0,5,998,2,false,true,false,Vail,Eagle,81657,CO,39.642350,-106.389200
40607,suite,2,3,3,0,7,1360,2,false,true,false,Vail,Eagle,81657,CO,39.642350,-106.389200
40690,cabin,2,3,3,0,15,2080,2,false,false,false,Sevierville,Sevier,37862,TN,35.738054,-83.665075
41077,condo,2,2,2,0,6,856,2,false,false,false,Gulf Shores,Baldwin,36542,AL,30.246000,-87.701637
